ID,LD50,Smiles
276,2.25,C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl
277,0.089,CNC(=O)OC1=CC=CC(=C1)N=CN(C)C
278,0.0115,CNC(=O)OC1=CC=CC(=C1)N=CN(C)C.Cl
279,4.997,CCO[P+](=O)[O-].CCO[P+](=O)[O-].CCO[P+](=O)[O-].[Al+3]
280,0.75,o1cccc1c2nc3ccccc3[nH]2
281,5,o1cccc1c2nc3ccccc3[nH]2
282,0.35,CC(CC)C1C(=O)OC(C(=O)N(C)C(C(=O)OC(C(=O)N(C)C(C(C)C)C(=O)OC(C(C)C)C(=O)N1C)C(C)C)C(C)CC)C(C)C
283,2,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C
284,5,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C
285,3.6,CC(=CCCC(=CCO)C)C
286,10,CC(=CCCC(=CCO)C)C
287,2.25,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O
288,5,C[C@@]12[C@H](CC[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@H](C4)C(=C)C5)C(=O)O)OC2=O)O
289,5,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@H](C4)C(=C)C5)C(=O)O)OC2=O)O
290,2,CP(=O)(CCC(C(=O)[O-])N)O.[NH4+]
291,4.334,O=P(O)(O)CNCC(O)=O
292,2.25,C([P](=O)(O)O)N
293,0.079,C(CCCCN=C(N)N)CCCNCCCCCCCCN=C(N)N
294,0.414,O=C(O)[C@@H](C)Oc1ccc(cc1)Oc2ncc(cc2Cl)C(F)(F)F
295,1.159,CC(C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)C(F)(F)F)Cl
296,5,C[C@H]2[C@@H](SC(=O)N2C(=O)NC1CCCCC1)c3ccc(Cl)cc3
297,1.085,O=C1C=C(C)ON1
298,0.387,O=C(O)c2ccccc2COc1cccc(n1)C(F)(F)F
299,0.51,Â Clc2ccc(C(OCC=C)Cn1 ccnc1)c(Cl)c2
300,3.4852,O=C1NC(C2=NC=C(COC)C=C2C(O)=O)=NC(C)1C(C)C
301,2.15,CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C
302,1.104,CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C
303,2.25,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC
304,0.031,ClC(C=C2)=NC=C2CN1/C(NCC1)=N/[N+]([O-])=O
305,2.515,ClC(C=C2)=NC=C2CN1/C(NCC1)=N/[N+]([O-])=O
306,5,C1CNC(=O)N1
307,1.75,FC(F)(F)Oc1ccc(cc1)NC(=O)N2N=C3c4ccc(Cl)cc4C[C@]3(OC2)C(=O)OC
308,2,[Na+].Cc2nc(NC(=O)[N-]S(=O)(=O)c1cc(I)ccc1C(=O)OC)nc(OC)n2
309,0.962,OC1(CN3N=CN=C3)C(CC2=CC=C(Cl)C=C2)CCC1C(C)C
310,2,OC1(CN3N=CN=C3)C(CC2=CC=C(Cl)C=C2)CCC1C(C)C
311,3.776,O=C2N(c1cc(Cl)cc(Cl)c1)C(=O)CN2C(=O)NC(C)C
312,2,CC1=CC=C(C=C1)C(C)NC(=O)C(C(C)C)NC(=O)OC(C)C
313,1.185,O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Fe+2]
314,2,Cc1ccsc1C(=O)NC(C)(C)C(=O)c2ccc(cc2C)OC(C)C
315,1.401,O=C(N(C)C)NC1=CC=C(C(C)C)C=C1
316,2,CC(C)C1C2CCC1C3=C2C=CC=C3NC(=O)C4=CN(N=C4C(F)F)C
317,2,CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC
318,2.15,CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3
319,2.15,CC1=CC=CC=C1OCC2=CC=CC=C2/C(=N\OC)/C(=O)OC
320,1.7,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)OC2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)OC3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O
321,2,O=C1NC2=C(CCC2)C(=O)N1C3CCCCC3
322,4.08,O=C1NC2=C(CCC2)C(=O)N1C3CCCCC3
323,0.314,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC
324,0.214,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
325,1.493,C1=CC(=O)NNC1=O
326,2,O=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
327,1,Clc1ccc(cc1)C(OCC#C)C(=O)NCCc2ccc(OCC#C)c(OC)c2
328,5,Clc1ccc(cc1)C(OCC#C)C(=O)NCCc2ccc(OCC#C)c(OC)c2
329,0.497,C[C@@H](OC1=C(C)C=C(Cl)C=C1)C(O)=O
330,2.25,CC#CC1=CC(=NC(=N1)NC2=CC=CC=C2)C
331,2,C[N+]1(CCCCC1)C.[Cl-]
332,2,O=C(OC)C1=C(S(=O)(NC(NC2=NC(OC)=CC(OC)=N2)=O)=O)C=C(CNS(=O)(C)=O)C=C1
333,2,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-]
334,2.025,C1=CC(=CC(=C1)C(F)(F)F)C(=NNC(=O)NC2=CC=C(C=C2)OC(F)(F)F)CC3=CC=C(C=C3)C#N
335,2,CC(F)(F)Oc1ccc(cc1)N3C(=O)NN=C(c2cc(ccc2)C(F)(F)F)C3(O)c4ccc(C#N)cc4
336,1.466,CC1=C(C(=CC=C1)C)N([C@H](C)C(=O)OC)C(=O)COC
337,0.981,CC1=C(C(=CC=C1)C)N([C@H](C)C(=O)OC)C(=O)COC
338,1,CC1=C(C(=CC=C1)C)N([C@H](C)C(=O)OC)C(=O)COC
339,0.644,O=C1C(C2=CC=CC=C2)=NN=C(C)N1N
340,2,O=C1C(C2=CC=CC=C2)=NN=C(C)N1N
341,2,O=C(CCl)N(Cn1cccn1)c2c(C)cccc2C
342,0.005,CNC(=O)Oc1cc(C)c(SC)c(C)c1
343,0.0242,CSC(C)=NOC(NC)=O
344,0.0304,CSC(C)=NOC(NC)=O
345,2.25,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C(=CC=C2)OC)C)C
346,5,Cc1c(cccc1O)C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C
347,0.147,CN=C=S
348,1.429,CN(C(=O)NC1=CC=C(C=C1)Br)OC
349,2.25,Clc3c(C)ccc(Cl)c3NS(=O)(=O)c1nc2nc(cc(OC)n2n1)OC
350,5,Clc3c(C)ccc(Cl)c3NS(=O)(=O)c1nc2nc(cc(OC)n2n1)OC
351,2.025,CC1=CC(=C(C(=C1C(=O)C2=C(C=CC(=C2C)Br)OC)OC)OC)OC
352,0.164,CC(C)(C)C1=NN=C(N(C1=O)N)SC
353,2.51,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
354,0.00138,CCC1(CCC(O1)C2(CCC3(O2)CC(C(C(O3)C(C)C(C(C)C(=O)[O-])OC)C)O)C)C4C(CC(O4)C5C(CC(C(O5)(CO)O)C)C)C.[Na+]
355,0.51,Clc1ccc(cc1)C(CCCC)(Cn2cncn2)C#N
356,5,Clc3c(C)ccc(Cl)c3NS(=O)(=O)c1nc2nc(O)cc(O)n2n1
357,5,Clc1c(C)ccc(Cl)c1NS(=O)(=O)c2nc3nc(cc(O)n3n2)OC
358,5,O=C(CS(=O)(=O)O)N(Cn1cccn1)c2c(C)cccc2C
359,2.2,O=C(N(Cn1cccn1)c2c(C)cccc2C)C(N)=O
360,0.302,Clc2cc(ccc2Oc1ccc(NC(N)=O)c(F)c1)C(F)(F)F
361,3.129,CN[C@H]1CC[C@@H](O[C@@H]1C)OC6CCC[C@H](CC)OC(=O)C[C@@H]5C(=C[C@@H]3[C@H]5CC[C@@H]2C[C@H](C[C@H]23)OC4O[C@@H](C)[C@H](OC)[C@@H](OCC)[C@H]4OC)C(=O)[C@@H]6C
362,5,O=CN[C@H]1CC[C@@H](O[C@@H]1C)OC2CCC[C@H](CC)OC(=O)C[C@@H]3C(=C[C@@H]4[C@H]3CC[C@@H]5C[C@H](C[C@H]54)OC6O[C@@H](C)[C@H](OC)[C@@H](OCC)[C@H]6OC)C(=O)[C@@H]2C
363,2.25,CCN(CC)C(=O)C(C)Oc2cccc1ccccc12
364,2,C[C@@H](OC1=C2C=CC=CC2=CC=C1)C(N(CC)CC)=O
365,2,CN(C)C(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
366,2,CN(C)C(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
367,0.0099,CNC(=O)CSP(=O)(OC)OC
368,2,CN(C)C(=O)C1=CC=CC=C1NS(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
369,5,[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CCC)CCC)S(N)(=O)=O
370,0.427,[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CCC)CCC)S(N)(=O)=O
371,2.15,CC(C)OC1=C(C=C(C(=C1)N2C(=O)OC(=N2)C(C)(C)C)Cl)Cl
372,0.0095,CNC(=O)ON=C(C(=O)N(C)C)SC
373,2.25,O=C(OC2COC2)C1=C(S(=O)(NC(NC3=NC(C)=CC(C)=N3)=O)=O)C=CC=C1
374,1.25,CC1=C(S(=O)(=O)CCO1)C(=O)NC2=CC=CC=C2
375,0.034,CCS(=O)CCSP(=O)(OC)OC
376,0.01624,CCS(=O)CCSP(=O)(OC)OC
377,0.947,Clc2cc(ccc2Oc1ccc([N+]([O-])=O)c(OCC)c1)C(F)(F)F
378,2.25,Clc2cc(ccc2Oc1ccc([N+]([O-])=O)c(OCC)c1)C(F)(F)F
379,2.1,OC(C(C)(C)C)C(CC(C=C1)=CC=C1Cl)N2N=CN=C2
380,2,O=C(NC2=CC=CC=C2)N(C3CCCC3)CC1=CC=C(Cl)C=C1
381,1.421,CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-]
382,2,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC
383,2.025,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC
384,2,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC
385,2.25,O=C(Nc1ccsc1C(C)CC(C)C)c2cn(C)nc2C(F)(F)F
386,2.066,O=C(Nc1ccsc1C(C)CC(C)C)c2cn(C)nc2C(F)(F)F
387,0.8724,CCOCCN(C(=O)CCl)C(=C(C)C)C1=CC=CC=C1
388,2,O=S(=O)(O)CC(=O)N(CCOCC)\C(=C(\C)C)c1ccccc1
389,2.5,O=C(NC2=CC(C)=CC=C2)OC1=CC(NC(OC)=O)=CC=C1
390,0.503,CCOP(=S)(OCC)SCN1C(=O)Oc2cc(Cl)ccc12
391,0.057,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O
392,4.012,C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N
393,2.25,C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N
394,2.25,C1(=C(C(=NC(=C1Cl)Cl)C(=O)[O-])Cl)N.[K+]
395,2.25,C1=CC(=CC(=C1)OC2=CC=CC(=N2)C(=O)NC3=CC=C(C=C3)F)C(F)(F)F
396,2.25,O=C(/C(C1=C(COC2=NC(C(F)(F)F)=CC=C2)C=CC=C1)=C/OC)OC
397,2.25,CCC1=CC(=CC(=C1C2=C(N3CCOCCN3C2=O)OC(=O)C(C)(C)C)CC)C
398,0.0209,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C
399,2.064,C(=O)(O)[O-].[K+]
400,0.675,OP(O)O.[K+]
401,1.177,[K+].[I-]
402,4,OP(O)O.[K+].[K+]
403,0.649,C(#N)[S-].[K+]
404,0.662,CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2
405,1.842,CCCOC(=O)NCCC[NH+](C)C.[Cl-]
406,0.196,CCC(=O)Nc1ccc(Cl)c(Cl)c1
407,1.5,CCC(=O)Nc1ccc(Cl)c(Cl)c1
408,2,C/C(C)=N\OCCOC(=O)[C@@H](C)Oc1ccc(cc1)Oc2cnc3cc(Cl)ccc3n2
409,4.64,CC(C)(C)c1ccc(cc1)OC2CCCCC2OS(=O)OCC#C
410,1.65,CC(C)(C)c1ccc(cc1)OC2CCCCC2OS(=O)OCC#C
411,5,CC(CNC(=S)[S-])NC(=S)[S-].[Zn+2]
412,1.916,CCC1=CC=CC(=C1N(COC(C)C)C(=O)CCl)C
413,1.562,CCC1=CC=CC(=C1N(COC(C)C)C(=O)CCl)C
414,5,O=C(NS(=O)(=O)c1ccccc1C(=O)OC)N2N=C(OCC(C)O)N(C)C2=O
415,2,CCCOC1=NN(C(=O)N1C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
416,6.578,CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl
417,2.25,CCCN1C(=O)C2=C(C=CC(=C2)I)N=C1OCCC
418,2.25,CCCN(CCC)C(=O)SCc1ccccc1
419,1.3,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2CCC(F)(F)F
420,2,C1CC1(C(CC2=CC=CC=C2Cl)(CN3C(=S)N=CN3)O)Cl
421,3.776,CC(CC1=C(C=C(C=C1Cl)Cl)Cl)N(C(=O)C2=CN(N=C2C(F)F)C)OC
422,2,CC1=NNC(=O)N(C1)N=CC2=CN=CC=C2
423,2,CCOC(=O)COC1=C(C=C(C(=C1)C2=NN(C(=C2Cl)OC(F)F)C)F)Cl
424,1.15148,CC=CCC1=C(C(CC1=O)OC(=O)C2C(C2(C)C)C=C(C)C)C
425,2.25,O=C1N(C(C)(C)C)N=CC(SCC2=CC=C(C(C)(C)C)C=C2)=C1Cl
426,1.42,C1=CC=C(C=C1)C2=NN=C(C=C2O)Cl
427,2.25,C1=CC(=NC(=C1)OCCCOC2=C(C=C(C=C2Cl)OCC=C(Cl)Cl)Cl)C(F)(F)F
428,1.269,CCCCCCCCSC(=O)OC1=CC(=NN=C1C2=CC=CC=C2)Cl
429,2,CC1=NC(NC2=CC=CC=C2)=NC(C)=C1
430,2,CC1=CC(=C(C(=C1C(=O)C2=C(C(=CN=C2OC)Cl)C)OC)OC)OC
431,2,CC1=CC(=C(C(=C1C(=O)C2=C(C(=CN=C2OC)Cl)C)OC)OC)OC
432,2,CC1=CC(=C(C(=C1C(=O)C2=C(C(=CN=C2OC)Cl)C)OC)OC)OC
433,1.906,CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3
434,2,COC1=CC(=NC2=NC(=NN12)NS(=O)(=O)C3=C(C=CN=C3OC)C(F)(F)F)OC
435,0.39,COC1=CC(=NC2=NC(=NN12)NS(=O)(=O)C3=C(C=CN=C3OC)C(F)(F)F)OC
436,2,O=C(O)C1=C(Cl)C=CC2=C1N=CC(C)=C2
437,2,NC1=C(Cl)C(=O)c2ccccc2C1=O
438,2,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O
439,2.551,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O
440,2,CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl
441,2,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O
442,2.25,O=S(C1=NC=CC=C1S(CC)(=O)=O)(NC(NC2=NC(OC)=CC(OC)=N2)=O)=O
443,2.25,CC1=C(SC(=C1C(=O)NCC=C)[Si](C)(C)C)C
444,1.439,O=C(O)C2=NN(c1ccc(Cl)cc1)c3cccc(OCCOC)c3C2=O
445,2,O=C(O)C2=NN(c1ccc(Cl)cc1)c3cccc(OCCOC)c3C2=O
446,0.933,C1=CC=C2C(=C1)C=CC=C2CC(=O)[O-].[Na+]
447,10,C1=CC=C2C(=C1)C=CC=C2CC(=O)[O-].[Na+]
448,2.067,COC1=C(C=C(C=C1)[N+](=O)[O-])[O-].[Na+]
449,5,COC1=C(C=C(C=C1)[N+](=O)[O-])[O-].[Na+]
450,0.008075,C(=O)(O)[O-].[Na+]
451,1.046,C1=CC=C(C(=C1)[N+](=O)[O-])[O-].[Na+]
452,1.67,C1=CC(=CC=C1[N+](=O)[O-])[O-].[Na+]
453,2,CC1=CCC(CC1=O)C(=C)C
454,2.25,CC[C@@H]1CCC[C@H]([C@@H](C(=O)C2=C[C@H]3[C@@H]([C@H]2CC(=O)O1)CC[C@@H]4[C@@H]3C[C@H](C4)O[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)C)OC)OCC)OC)C)O[C@@H]6CC[C@H]([C@@H](O6)C)N(C)C
455,2,O=C2OC1(C(OC(C(CC)(C)C)=O)=C2C3=CC(Cl)=CC(Cl)=C3)CCCCC1
456,2.5,O=C(CC(C)(C)C)OC1=C(C3=C(C)C=C(C)C=C3C)C(OC21CCCC2)=O
457,2,Cc1cc(c(C)cc1)C3(O)C(=O)N[C@]2(CC[C@H](CC2)O)C3=O
458,2,Cc1cc(c(C)cc1)C3(O)C(=O)N[C@@]2(CC[C@@H](CC2)O)C3O
459,2,Cc1cc(c(C)cc1)C3(O)C(=O)N[C@]2(CC[C@H](CC2)OC)C3=O
460,2,Cc3cc(C2C(=O)N[C@@]1(CC[C@@H](CC1)OC)C2O)c(C)cc3
461,2.25,CCCC/C=C\CCCCCCCCC/C=C/COC(=O)C
462,2.05,C/C=C/C=C/CCCCCCCO
463,2.25,CCCC/C=C\CCCCCCCCCC=O
464,1.35,O=C2CCCC(=O)C2C(=O)c1ccc(cc1Cl)S(C)(=O)=O
465,2,O=C2CCCC(=O)C2C(=O)c1ccc(cc1Cl)S(C)(=O)=O
466,2.25,CCS(=O)(=O)C1=C(N2C=CC=CC2=N1)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC
467,0.566,FC(F)(F)c1ccc(cn1)C(C)S(C)(=O)=O
468,2,CC(C1=CN=C(C=C1)C(F)(F)F)S(=N)(=O)C
469,2.25,CC(C1=CN=C(C=C1)C(F)(F)F)S(=NC(=O)N)(=O)C
470,1.038,CC(C1=CN=C(C=C1)C(F)(F)F)O
471,1.682,CC1(C2CCC(O1)(CC2)C)C
472,2,CC1(C2CCC(O1)(CC2)C)C
473,1.988,OC(C(C)(C)C)(CN2N=CN=C2)CCC1=CC=C(Cl)C=C1
474,2,OC(C(C)(C)C)(CN2N=CN=C2)CCC1=CC=C(Cl)C=C1
475,2.15,O=C(N(C(C)(C)C)NC(C2=CC=C(CC)C=C2)=O)C1=CC(C)=CC(C)=C1
476,2,O=C(NCC2=CC=C(C(C)(C)C)C=C2)C1=C(Cl)C(CC)=NN1C
477,1.458,O=C(NCC2=CC=C(C(C)(C)C)C=C2)C1=C(Cl)C(CC)=NN1C
478,2.25,O=C(NC(NC2=C(F)C(Cl)=C(F)C(Cl)=C2)=O)C1=C(F)C=CC=C1F
479,2,O=C(NC(NC2=C(F)C(Cl)=C(F)C(Cl)=C2)=O)C1=C(F)C=CC=C1F
480,0.267,O=C(OCC2=C(F)C(F)=C(C)C(F)=C2F)C1C(C)(C)C1/C=C(Cl)/C(F)(F)F
481,0.344,O=C(OCC2=C(F)C(F)=C(C)C(F)=C2F)C1C(C)(C)C1/C=C(Cl)/C(F)(F)F
482,2.25,CS(=O)(=O)C1=C(C(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl)COCC(F)(F)F
483,1.236,CCNc1nc(Cl)nc(NC(C)(C)C)n1
484,3,CCNc1nc(Cl)nc(NC(C)(C)C)n1
485,2,CCNc1nc(Cl)nc(NC(C)(C)C)n1
486,1.53,CC(=C)c1ccc(C)cc1
487,0.132,C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)COC(C(F)F)(F)F
488,0.063,C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)COC(C(F)F)(F)F
489,2.25,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
490,2,S(C1C(C(=O)OC([H])([H])[H])=C([H])SC=1C([H])([H])[H])(N([H])C(N1C(N(C([H])([H])[H])C(=N1)OC([H])([H])[H])=O)=O)(=O)=O
491,2.51,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=C(SC=C2)C(=O)OC
492,2.023,CC(=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC)SC
493,4.64,COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC
494,0.93,CN(C)C(=S)SSC(=S)N(C)C
495,0.98,CC1=CC(=C(C=C1)C(C)C)O
496,10,CC1=CC(=C(C=C1)C(C)C)O
497,5,S=P(OC)(OC)OC1=C(Cl)C=C(C)C=C1Cl
498,2,CC1=CC=C(C=C1)N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C
499,2,CC1=C(C=CC(=C1C2=NOCC2)S(=O)(=O)C)C(=O)C3=CNN(C3=O)C
500,2.024,CCC(=C1C(=O)CC(CC1=O)C2=C(C=C(C=C2C)C)C)NOCC
501,1.56,CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl
502,2,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl
503,2,OC(C(C)(C)C)C(N2N=CN=C2)OC1=CC=C(Cl)C=C1
504,2.15,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2OCCCl
505,1,CC1=NC(=NC(=N1)OC)N
506,0.09,Clc1ccc2nc(n[n+]([O-])c2c1)n3ccnc3
507,0.616,[OH-].[OH-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Cu+2].[Cu+2].[Cu+2]
508,2.25,CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
509,0.212,COP(=O)(C(C(Cl)(Cl)Cl)O)OC
510,0.062,[O-][N+](=O)C(Cl)(Cl)Cl
511,1.698,Clc1cc(Cl)c(Cl)nc1OCC(=O)O
512,0.735,Clc1cc(Cl)c(Cl)nc1OCC(=O)OCCOCCCC
513,2.176,CC1=C2C(=CC=C1)SC3=NN=CN23
514,2,CC(C1=CC(C(F)(F)F)=CC=C1)=NOCC2=C(C(C(OC)=O)=NOC)C=CC=C2
515,2,FC(F)(F)c1cccc(c1)\C(=N\OCc2ccccc2C(=N\OC)/C(=O)O)C(=O)O
516,2,FC(F)(F)c1cccc(c1)/C(=N\OCc2ccccc2C(=N\OC)/C(=O)O)C(=O)O
517,2.51,CCCOCC(=NC1=C(C=C(C=C1)Cl)C(F)(F)F)N2C=CN=C2
518,0.561,O=C(C1=CC=CC=C1Cl)NC(NC(C=C2)=CC=C2OC(F)(F)F)=O
519,2.123,O=C(C1=CC=CC=C1Cl)NC(NC(C=C2)=CC=C2OC(F)(F)F)=O
520,2,C(=O)(C(F)(F)F)O
521,2.25,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
522,2.25,CC1=CC=CC(=C1S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C)C(=O)OC
523,2.25,CC1=CC=CC(=C1S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C)C(=O)OC
524,2,CCOC(=O)C1CC(=O)C(=C(C2CC2)O)C(=O)C1
525,2,CC1(CCC(=CC2=CC=C(C=C2)Cl)C1(CN3C=NC=N3)O)C
526,14.3,C(=O)(N)N
527,2.25,CC(C)[C@@H](C(=O)NC(CC(=O)OC)C1=CC=C(C=C1)Cl)NC(=O)OC(C)C
528,2,CC(C)[C@@H](C(=O)NC(CC(=O)OC)C1=CC=C(C=C1)Cl)NC(=O)OC(C)C
529,2,Clc1ccc(cc1)C(NC(=O)[C@@H](NC(=O)OC(C)C)C(C)C)CC(=O)O
530,2,CCC(C)(C(=O)CCl)NC(=O)C1=CC(=C(C(=C1)Cl)C)Cl
531,0.035,CC1([C@@H]([C@@H]1C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
532,0.0586,CC1(C(C1C(=O)OC(C#N)c2ccc(c(c2)Oc3ccccc3)F)C=C(Cl)Cl)C
533,2,O=C1C[C@H](C\C=C1\C)C(C)=C
